kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_kecamatan,nama_kecamatan,kode_desa_kelurahan,nama_desa_kelurahan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kemendagri_kode_desa_kelurahan,kemendagri_nama_desa_kelurahan,jumlah_penyandang,satuan,tahun,id
32,JAWA BARAT,3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,3201190006,WANAHERANG,32.01.02,GUNUNG PUTRI,32.01.02.2001,WANAHERANG,1,ORANG,2020,1
32,JAWA BARAT,3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,3201190010,BOJONG KULUR,32.01.02,GUNUNG PUTRI,32.01.02.2002,BOJONG KULUR,4,ORANG,2020,2
32,JAWA BARAT,3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,3201190009,CIANGSANA,32.01.02,GUNUNG PUTRI,32.01.02.2003,CIANGSANA,0,ORANG,2020,3
32,JAWA BARAT,3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,3201190002,GUNUNG PUTRI,32.01.02,GUNUNG PUTRI,32.01.02.2004,GUNUNG PUTRI,5,ORANG,2020,4
32,JAWA BARAT,3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,3201190004,BOJONG NANGKA,32.01.02,GUNUNG PUTRI,32.01.02.2005,BOJONG NANGKA,2,ORANG,2020,5
32,JAWA BARAT,3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,3201190003,TLAJUNG UDIK,32.01.02,GUNUNG PUTRI,32.01.02.2006,TLAJUNG UDIK,0,ORANG,2020,6
32,JAWA BARAT,3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,3201190005,CICADAS,32.01.02,GUNUNG PUTRI,32.01.02.2007,CICADAS,0,ORANG,2020,7
32,JAWA BARAT,3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,3201190007,CIKEAS UDIK,32.01.02,GUNUNG PUTRI,32.01.02.2008,CIKEAS UDIK,0,ORANG,2020,8
32,JAWA BARAT,3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,3201190008,NAGRAK,32.01.02,GUNUNG PUTRI,32.01.02.2009,NAGRAK,0,ORANG,2020,9
32,JAWA BARAT,3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,3201190001,KARANGGAN,32.01.02,GUNUNG PUTRI,32.01.02.2010,KARANGGAN,0,ORANG,2020,10
32,JAWA BARAT,3201,KABUPATEN BOGOR,3201200,CITEUREUP,3201200014,PUSPASARI,32.01.03,CITEUREUP,32.01.03.2001,PUSPASARI,0,ORANG,2020,11
32,JAWA BARAT,3201,KABUPATEN BOGOR,3201200,CITEUREUP,3201200012,CITEUREUP,32.01.03,CITEUREUP,32.01.03.2002,CITEUREUP,0,ORANG,2020,12
32,JAWA BARAT,3201,KABUPATEN BOGOR,3201200,CITEUREUP,3201200006,LEUWINUTUG,32.01.03,CITEUREUP,32.01.03.2003,LEUWINUTUG,0,ORANG,2020,13
32,JAWA BARAT,3201,KABUPATEN BOGOR,3201200,CITEUREUP,3201200003,TAJUR,32.01.03,CITEUREUP,32.01.03.2004,TAJUR,1,ORANG,2020,14
32,JAWA BARAT,3201,KABUPATEN BOGOR,3201200,CITEUREUP,3201200007,SANJA,32.01.03,CITEUREUP,32.01.03.2005,SANJA,1,ORANG,2020,15
32,JAWA BARAT,3201,KABUPATEN BOGOR,3201200,CITEUREUP,3201200009,KARANG ASEM TIMUR,32.01.03,CITEUREUP,32.01.03.2008,KARANG ASEM TIMUR,0,ORANG,2020,16
32,JAWA BARAT,3201,KABUPATEN BOGOR,3201200,CITEUREUP,3201200010,TARIKOLOT,32.01.03,CITEUREUP,32.01.03.2009,TARIKOLOT,0,ORANG,2020,17
32,JAWA BARAT,3201,KABUPATEN BOGOR,3201200,CITEUREUP,3201200011,GUNUNGSARI,32.01.03,CITEUREUP,32.01.03.2010,GUNUNGSARI,2,ORANG,2020,18
32,JAWA BARAT,3201,KABUPATEN BOGOR,3201200,CITEUREUP,3201200001,TANGKIL,32.01.03,CITEUREUP,32.01.03.2011,TANGKIL,0,ORANG,2020,19
32,JAWA BARAT,3201,KABUPATEN BOGOR,3201200,CITEUREUP,3201200005,SUKAHATI,32.01.03,CITEUREUP,32.01.03.2012,SUKAHATI,1,ORANG,2020,20
32,JAWA BARAT,3201,KABUPATEN BOGOR,3201200,CITEUREUP,3201200002,HAMBALANG,32.01.03,CITEUREUP,32.01.03.2013,HAMBALANG,0,ORANG,2020,21
32,JAWA BARAT,3201,KABUPATEN BOGOR,3201200,CITEUREUP,3201200004,PASIRMUKTI,32.01.03,CITEUREUP,32.01.03.2014,PASIRMUKTI,0,ORANG,2020,22
32,JAWA BARAT,3201,KABUPATEN BOGOR,3201130,SUKARAJA,3201130002,GUNUNGGEULIS,32.01.04,SUKARAJA,32.01.04.2001,GUNUNGGEULIS,1,ORANG,2020,23
32,JAWA BARAT,3201,KABUPATEN BOGOR,3201130,SUKARAJA,3201130012,CILEBUT TIMUR,32.01.04,SUKARAJA,32.01.04.2002,CILEBUT TIMUR,0,ORANG,2020,24
32,JAWA BARAT,3201,KABUPATEN BOGOR,3201130,SUKARAJA,3201130013,CILEBUT BARAT,32.01.04,SUKARAJA,32.01.04.2003,CILEBUT BARAT,0,ORANG,2020,25
32,JAWA BARAT,3201,KABUPATEN BOGOR,3201130,SUKARAJA,3201130001,CIBANON,32.01.04,SUKARAJA,32.01.04.2004,CIBANON,0,ORANG,2020,26
32,JAWA BARAT,3201,KABUPATEN BOGOR,3201130,SUKARAJA,3201130003,NAGRAK,32.01.04,SUKARAJA,32.01.04.2005,NAGRAK,0,ORANG,2020,27
